index,viscosity,T,CaO,Al2O3,SiO2,CaF2,MgO
220,3.01,1823,0.405,0.087,0.361,0.0,0.147
70,8.6,1773,0.434,0.06,0.506,0.0,0.0
238,9.8,1723,0.319,0.088,0.446,0.0,0.148
367,0.79,1823,0.592,0.148,0.151,0.035,0.075
360,0.79,1823,0.578,0.145,0.098,0.033,0.146
55,7.4,1823,0.394,0.361,0.245,0.0,0.0
268,5.7,1723,0.317,0.116,0.346,0.0,0.221
430,2.27,1763,0.575,0.107,0.09,0.078,0.151
88,28.6,1773,0.335,0.092,0.573,0.0,0.0
159,3.81,1773,0.421,0.083,0.357,0.0,0.139
151,3.54,1773,0.419,0.106,0.326,0.0,0.149
207,6.51,1733,0.385,0.106,0.36,0.0,0.149
167,4.79,1773,0.423,0.058,0.445,0.0,0.074
410,0.78,1833,0.575,0.107,0.09,0.078,0.151
78,14.3,1773,0.407,0.16,0.434,0.0,0.0
191,5.16,1773,0.497,0.091,0.412,0.0,0.0
164,6.5,1773,0.396,0.156,0.37,0.0,0.079
375,0.69,1823,0.56,0.108,0.087,0.094,0.151
250,16.2,1723,0.209,0.086,0.487,0.0,0.218
358,0.78,1823,0.638,0.146,0.075,0.03,0.111
95,5.23,1723,0.539,0.059,0.402,0.0,0.0
395,0.43,1873,0.56,0.108,0.087,0.094,0.151
391,1.0,1873,0.49,0.157,0.192,0.082,0.079
433,4.09,1753,0.591,0.107,0.091,0.062,0.15
135,0.5,1873,0.451,0.3,0.0,0.249,0.0
279,17.3,1673,0.38,0.089,0.455,0.0,0.075
428,5.55,1763,0.605,0.106,0.094,0.046,0.149
322,24.3,1623,0.319,0.088,0.446,0.0,0.148
310,8.9,1673,0.317,0.116,0.346,0.0,0.221
148,1.49,1773,0.312,0.415,0.0,0.273,0.0
393,0.79,1873,0.591,0.107,0.091,0.062,0.15
45,2.7,1873,0.608,0.392,0.0,0.0,0.0
67,5.0,1773,0.615,0.27,0.115,0.0,0.0
21,15.1,1740,0.45,0.15,0.4,0.0,0.0
179,3.93,1773,0.245,0.027,0.456,0.0,0.272
134,0.5,1873,0.284,0.216,0.0,0.5,0.0
131,0.6,1873,0.115,0.235,0.0,0.65,0.0
171,7.6,1773,0.38,0.089,0.455,0.0,0.075
27,24.0,1740,0.4,0.1,0.5,0.0,0.0
5,13.0,1816,0.4,0.15,0.45,0.0,0.0
142,0.5,1873,0.432,0.207,0.0,0.361,0.0
94,31.4,1723,0.366,0.235,0.399,0.0,0.0
53,3.5,1823,0.646,0.355,0.0,0.0,0.0
388,0.81,1873,0.53,0.178,0.129,0.083,0.08
284,19.1,1673,0.157,0.115,0.438,0.0,0.29
363,0.9,1823,0.575,0.177,0.086,0.083,0.08
75,4.01,1773,0.539,0.059,0.402,0.0,0.0
12,16.2,1791,0.4,0.15,0.45,0.0,0.0
185,9.51,1773,0.153,0.084,0.477,0.0,0.285
