index,viscosity,T,3d,4d,5d,CaO,Al2O3,SiO2,CaF2,MgO,OBforCaO,OBforAl2O3,OBforSiO2,OBforCaF2,OBforMgO
422,1.31,1793,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
315,21.5,1623,0,1,0,0.332,0.152,0.362,0.0,0.154,1,0.605,0.48,0.0,0.78
372,2.48,1823,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
271,8.2,1673,0,1,0,0.378,0.119,0.353,0.0,0.15,1,0.605,0.48,0.0,0.78
184,10.9,1773,0,1,0,0.209,0.086,0.487,0.0,0.218,1,0.605,0.48,0.0,0.78
58,3.3,1823,1,0,0,0.615,0.27,0.115,0.0,0.0,1,0.605,0.48,0.0,0.0
318,16.0,1623,0,1,0,0.363,0.057,0.436,0.0,0.144,1,0.605,0.48,0.0,0.78
252,5.23,1723,0,1,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
247,9.92,1723,0,1,0,0.312,0.057,0.486,0.0,0.145,1,0.605,0.48,0.0,0.78
76,5.16,1773,1,0,0,0.497,0.091,0.412,0.0,0.0,1,0.605,0.48,0.0,0.0
219,3.72,1823,0,1,0,0.385,0.106,0.36,0.0,0.149,1,0.605,0.48,0.0,0.78
154,3.92,1773,0,1,0,0.405,0.087,0.361,0.0,0.147,1,0.605,0.48,0.0,0.78
7,9.5,1791,1,0,0,0.45,0.15,0.4,0.0,0.0,1,0.605,0.48,0.0,0.0
365,1.2,1823,0,0,1,0.612,0.191,0.076,0.042,0.08,1,0.605,0.48,1.2,0.78
65,9.3,1773,1,0,0,0.417,0.0,0.583,0.0,0.0,1,0.0,0.48,0.0,0.0
62,5.7,1773,1,0,0,0.646,0.355,0.0,0.0,0.0,1,0.605,0.0,0.0,0.0
298,5.5,1673,0,1,0,0.298,0.055,0.371,0.0,0.276,1,0.605,0.48,0.0,0.78
371,1.31,1823,0,0,1,0.49,0.157,0.192,0.082,0.079,1,0.605,0.48,1.2,0.78
223,2.68,1823,0,1,0,0.351,0.104,0.327,0.0,0.219,1,0.605,0.48,0.0,0.78
82,15.0,1773,1,0,0,0.398,0.125,0.477,0.0,0.0,1,0.605,0.48,0.0,0.0
231,8.1,1723,0,1,0,0.332,0.152,0.362,0.0,0.154,1,0.605,0.48,0.0,0.78
254,4.27,1723,0,1,0,0.413,0.057,0.386,0.0,0.144,1,0.605,0.48,0.0,0.78
316,9.03,1623,0,1,0,0.348,0.027,0.417,0.0,0.207,1,0.605,0.48,0.0,0.78
329,12.1,1623,0,1,0,0.245,0.027,0.456,0.0,0.272,1,0.605,0.48,0.0,0.78
115,8.33,1673,1,0,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
97,13.7,1723,1,0,0,0.453,0.125,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
272,15.3,1673,0,1,0,0.396,0.156,0.37,0.0,0.079,1,0.605,0.48,0.0,0.78
160,4.22,1773,0,1,0,0.432,0.098,0.349,0.0,0.121,1,0.605,0.48,0.0,0.78
61,6.2,1823,1,0,0,0.434,0.06,0.506,0.0,0.0,1,0.605,0.48,0.0,0.0
130,81.6,1673,1,0,0,0.328,0.06,0.612,0.0,0.0,1,0.605,0.48,0.0,0.0
15,10.5,1765,1,0,0,0.45,0.1,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
